users_id,users_trades_id,users_trades_createdAtDatetime,users_trades_sourceAmount,users_trades_targetAmount,users_trades_tradingFeeAmount,users_trades_pair_id,users_trades_pair_token0_id,users_trades_pair_token0_symbol,users_trades_pair_token1_id,users_trades_pair_token1_symbol
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x39dc615a99a4f9c3ac9cd9cd83861ea093c2e4c72ebbf9eb567f1ec4290b942be7000000,2024-03-14 20:28:35,2314733906,10744671805525540170,21532408427906895,0x275f5ad03be0fa221b4c6649b8aee09a42d9412a-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x275f5ad03be0fa221b4c6649b8aee09a42d9412a,MONA,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x0fe6ad6139b2b2ddca2e9d8365fecf1fd60d0307dee564845543e642ac9e4e4672000000,2024-03-14 19:54:11,3120849048,14486545813506921162,29031153934883610,0x275f5ad03be0fa221b4c6649b8aee09a42d9412a-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x275f5ad03be0fa221b4c6649b8aee09a42d9412a,MONA,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x0f070faf86c2d3bf90a923a09c77727152f0963993459b9e4cb35ea2bbba452b9f010000,2024-03-14 11:27:47,138371779690435847118110,2039022798,4086219,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xeab607b1fc759f0c9ab1b181a4c422bdc15f83b8f6edf06b65e1dc000e18647571000000,2024-03-13 23:05:47,698060972406978990997,107862430902292718484,216157176156899236,0x02f92800f57bcd74066f5709f1daa1a4302df875-0x6b175474e89094c44da98b954eedeac495271d0f,0x02f92800f57bcd74066f5709f1daa1a4302df875,PEAS,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x095c9d5db410b7265d28d534ce4acb7761daf2556fea6db99c23a5fa038f96a83b000000,2024-03-13 07:23:11,693979131221186576560,128507009049831872826,257529076252168082,0x02f92800f57bcd74066f5709f1daa1a4302df875-0x6b175474e89094c44da98b954eedeac495271d0f,0x02f92800f57bcd74066f5709f1daa1a4302df875,PEAS,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xb3ad0fbae2d39260e0a37727d38752bbd966f61eae01d8f44b431650d579ade99b000000,2024-03-10 07:02:47,513574801362863006771,112761353483490180165,225974656279539440,0x02f92800f57bcd74066f5709f1daa1a4302df875-0x6b175474e89094c44da98b954eedeac495271d0f,0x02f92800f57bcd74066f5709f1daa1a4302df875,PEAS,0x6b175474e89094c44da98b954eedeac495271d0f,DAI
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xdf370430ac4259a11ee0c885f5575ae7e1c82148c6d2541644015c9e036b893f6e000000,2024-03-10 06:40:11,2086798993,129355614597142090879939,259229688571427035832,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xb3474966fd4b1069f9d2eaa883acfb9c01ee627802f40d9af6eb42cb9e35f8c91c010000,2024-03-08 22:02:23,887406815924755337364,102789887336538338823,205991758189455589,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0-0x853d955acef822db058eb8505911ed77f175b99e,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,FXS,0x853d955acef822db058eb8505911ed77f175b99e,FRAX
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0xab90129526aff3cb10a68d274dee90c73573ee3af4430a709e518bb1cfbe809d1f030000,2024-03-08 18:51:23,129870779108453344934883,1916203190,3840087,0x1294f4183763743c7c9519bec51773fb3acd78fd-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1294f4183763743c7c9519bec51773fb3acd78fd,FI,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC
0x23b530268c4a1f0bb11fbb0aa2f3ddf0d41caf22,0x64ad1ed49282ac2ac56bce75be16d818a849dccc12a10475442c3c2a4c5d232c40000000,2024-03-08 08:52:11,1162556263961676768940,38803717439255371759,77762960800110966,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9-0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,SNX
